nome_medicamento,dosagem_padrao,via_padrao,frequencia_padrao,observacoes_padrao
Amoxicilina,500mg,Oral,a cada 8 horas,"Com ou sem alimentos"
Dipirona Sódica,500mg,Oral,a cada 6 horas,"Se febre ou dor"
Paracetamol,750mg,Oral,a cada 6 horas,"Dose máxima diária: 4g"
Ibuprofeno,400mg,Oral,a cada 6-8 horas,"Com alimentos. Máximo 2.4g/dia"
Omeprazol,20mg,Oral,uma vez ao dia,"Em jejum"
Atropina,1mg,IV,Conforme necessidade,"Para bradicardia sintomática"
Dopamina,5-20mcg/kg/min,IV (infusão),Contínua,"Titular conforme resposta"
Adrenalina,2-10mcg/min,IV (infusão),Contínua,"Titular conforme resposta"
Diazepam,5mg,Oral/IV/Retal,Conforme necessidade,"Para convulsões ou sedação"
Midazolam,0.1mg/kg,IV/IM,Conforme necessidade,"Sedação. Ajustar em idosos"
Morfina,2-10mg,IV/IM/SC,a cada 4 horas,"Se dor intensa. Titular dose"
Salbutamol,100mcg/dose,Inalatória,2-4 puffs a cada 4-6 horas,"Para broncoespasmo"
Hidrocortisona,100mg,IV,a cada 6-8 horas,"Crise asmática, anafilaxia"
Metformina,850mg,Oral,1-2 vezes ao dia,"Com refeições. Ajustar pela função renal"
Insulina Regular,Conforme glicemia,SC/IV,Conforme esquema,"Correção de hiperglicemia"
AAS (Ácido Acetilsalicílico),100mg,Oral,uma vez ao dia,"Antiagregação plaquetária"
Clopidogrel,75mg,Oral,uma vez ao dia,"Antiagregação plaquetária"
Enalapril,10mg,Oral,1-2 vezes ao dia,"Para Hipertensão Arterial"
Losartana Potássica,50mg,Oral,uma vez ao dia,"Para Hipertensão Arterial"
Furosemida,40mg,Oral/IV,1-2 vezes ao dia,"Diurético. Monitorar eletrólitos"
Sinvastatina,20mg,Oral,uma vez à noite,"Dislipidemia"
Captopril,25mg,Oral,2-3 vezes ao dia,"Para Hipertensão Arterial"
Propranolol,40mg,Oral,2 vezes ao dia,"Anti-hipertensivo, antiarrítmico"
Ranitidina,150mg,Oral,2 vezes ao dia,"Obsoleto em muitas instituições, verificar alternativas"
Sulfametoxazol+Trimetoprima,800mg+160mg,Oral,a cada 12 horas,"Antibiótico"
Cefalexina,500mg,Oral,a cada 6 horas,"Antibiótico"
Azitromicina,500mg,Oral,uma vez ao dia,"Antibiótico, geralmente por 3-5 dias"
Vancomicina,15-20mg/kg,IV (infusão),a cada 8-12 horas,"Antibiótico. Monitorar nível sérico"
Gentamicina,3-5mg/kg,IV/IM,uma vez ao dia,"Antibiótico. Monitorar função renal"
Heparina Sódica,5000 UI,SC/IV,Conforme protocolo,"Anticoagulante"
Enoxaparina,1mg/kg,SC,a cada 12 horas ou uma vez ao dia,"Anticoagulante de baixo peso molecular"
Warfarina Sódica,Conforme RNI,Oral,uma vez ao dia,"Anticoagulante. Monitorar RNI"
Digoxina,0.125-0.25mg,Oral/IV,uma vez ao dia,"Insuficiência cardíaca, Fibrilação Atrial. Monitorar nível sérico"
Glicose 50%,25-50mL,IV,Conforme necessidade,"Hipoglicemia grave"
Naloxona,0.4-2mg,IV/IM/SC,Repetir se necessário,"Reversão de opioides"
Carvão Ativado,50-100g,Oral,Dose única,"Intoxicações selecionadas"
